07/23/2019,LEGENDS MUSIC LLC,7,,183.89
07/23/2019,PRESTO EXHIBITION RELOAD,50,,233.89
07/24/2019,TIM HORTONS #2115,3.03,,236.92
07/24/2019,LYFT   *RIDE WED 5PM,7.5,,244.42
07/25/2019,TIM HORTONS #1691,2.72,,247.14
07/26/2019,ASAP CITY,10.11,,257.25
07/26/2019,GATEWAY NO 158,3.25,,260.5
07/27/2019,EDENS,19.49,,279.99
07/27/2019,TIM HORTONS #0076,2.72,,282.71
07/27/2019,TIM HORTONS #2919,5.63,,288.34
07/27/2019,WFC HAM WATRFRNT,3.68,,292.02
07/27/2019,HAMILTON WATERFRONT TRUST,32,,324.02
07/29/2019,Amazon.ca*MA7ZP0FQ0,76.11,,400.13
07/29/2019,TIM HORTONS #2115,2.72,,402.85
07/29/2019,OFFICE OF REGISTRAR,16,,418.85
07/30/2019,SUBWAY # 33863,6.2,,425.05
07/30/2019,TIM HORTONS #2614,2.72,,427.77
07/30/2019,TIM HORTONS #108580,1.03,,428.8
07/30/2019,POPEYES LOUISIANA KITCHEN,9.82,,438.62
07/30/2019,POPEYES LOUISIANA KITCHEN,2.4,,441.02
07/31/2019,JACK ASTOR'S JOHN ST.,11.98,,453
08/01/2019,TIM HORTONS #108580,5.67,,458.67
08/02/2019,TIM HORTONS #108580,1.77,,460.44
08/02/2019,LYFT   *RIDE FRI 7PM,6.79,,467.23
08/03/2019,LYFT   *RIDE SAT 12AM,5.6,,472.83
08/04/2019,TIM HORTONS #4365,2.72,,475.55
08/05/2019,SODA-SNACK VENDING,2.5,,478.05
08/06/2019,PAYMENT - THANK YOU,,453,25.05
08/06/2019,SA-FIRE RESTAURANT AND,7.27,,32.32
08/06/2019,SA-FIRE RESTAURANT AND,8.62,,40.94
08/06/2019,TIM HORTONS #1691,2.72,,43.66
08/06/2019,PRESTO UNION STATION RELO,50,,93.66
08/07/2019,ROCKY MOUNTAIN CHOCOLATE,3.96,,97.62
08/07/2019,DOLLARAMA # 309,4.52,,102.14
08/08/2019,Spotify P0C2EAE898,4.99,,107.13
08/09/2019,DOUBLE DOUBLE PIZZA & CHI,2.25,,109.38
08/09/2019,H & M CA #001,33.88,,143.26
08/09/2019,LYFT   *RIDE FRI 12AM,7.65,,150.91
08/10/2019,D J*WALL-ST-JOURNAL,1.54,,152.45
08/10/2019,TTC KENNEDY STATION,10.75,,163.2
08/12/2019,ROCKY MOUNTAIN CHOCOLATE,3.96,,167.16
08/12/2019,PARAMOUNT - BROOKFIELD,8.46,,175.62
08/13/2019,TIM HORTONS #1691,4.95,,180.57
08/15/2019,KELLYS LANDING #6415,19.8,,200.37
